"CREATED_DATE","CREATED_USER","LAST_MODIFIED_DATE","last_modified_user","EVT_LOCATION_CODE","EVT_LOC_DESC","EVT_LOC_ADDR","REGISTRY_CODE","EVT_LOC_PCODE","EVT_LOCATION_HQ_CODE","JS_CODE","EVT_MAILBOX","SEATING_CAPACITY","EVT_LOC_RANK","EVT_PRIMARY_FLG","SECURITY_GUARD_AVAILABLE","VIDEO_CONF_AVAILABLE","Recording_equipment","VC_COMBINE_NOTIFY_FLAG","VC_SITE","VC_SITE_ADDRESS","VC_DIAL_IN_NUMBER","VC_CONTACT_PHONE","VC_CONTACT_EMAIL","DISPOSITION_TYPE","snap_code","ACTIVE_FROM","EXTERNAL_ID","IGNORE_CONFLICT","SEPARATE_DJ_CHAMBERS_FLAG","PRIVATE_DISCUSSION_ROOM_FLAG","WITNESS_ROOM_FLAG","PRIVATE_INTERIOR_ROOM_FLAG","EXTERNAL_VENUE_FLAG","OPENING_TIME","CLOSING_TIME","NO_OF_GALLERY_SEATS","ROOM_SIZE","SECURE_DOCK_SIZE","TYPE_ID","CLIENT_VALUE_1","LAYOUT_ID","INACTIVE_REASON","INACTIVE_DATE"
"29-07-2020 13:45","-84","18-10-2022 05:53","-100","300","Milton Keynes County Court and Family Court","SILBURY BOULEVARD","TV","MK9 2DT","","CIV","","","","true","true","true","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","","","","","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:34","-84","301","MKCC Room 1","SILBURY BOULEVARD","TV","MK9 2DT","300","CIV","","10","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","5","25","5","1","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:34","-84","302","MKCC Room 2","SILBURY BOULEVARD","TV","MK9 2DT","300","FAM","","0","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","","","","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:34","-84","303","MKCC Room 3","SILBURY BOULEVARD","TV","MK9 2DT","300","CIV","","0","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","","","","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:32","-84","304","MKCC Room 4","SILBURY BOULEVARD","TV","MK9 2DT","300","","","0","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","","","","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:33","-84","305","MKCC Room 5","SILBURY BOULEVARD","TV","MK9 2DT","300","CIV","","5","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","100","25","1","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:33","-84","306","MKCC Room 6","SILBURY BOULEVARD","TV","MK9 2DT","300","","","0","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","","","","","","",""
"29-07-2020 13:45","-84","18-10-2022 05:53","-100","307","MKCC Room 7","SILBURY BOULEVARD","TV","MK9 2DT","300","","","0","99","false","false","true","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","","","","","","",""
"29-07-2020 13:45","-84","21-10-2022 02:30","-84","308","MKCC Room 8","SILBURY BOULEVARD","TV","MK9 2DT","300","","","0","99","false","false","false","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","0","","","","","","",""
"29-07-2020 14:03","-84","18-10-2022 05:53","-100","309","Milton Keynes Magistrates and Family Court","SILBURY BOULEVARD","TV","MK9 2DT","","","","","","true","true","true","true","true","","","","","","","","09-07-2018 00:00","","false","false","false","false","false","false","","","","","","","","","",""
